               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.056046,            0.015591,             0.02979,             0.55733,             0.34818,             0.29167,             0.10988,            0.054289,            0.012051,            0.029437,           0.0099477,           0.0099477,           0.0099477
                  36,             0.05492,            0.015856,            0.029308,             0.62546,             0.33059,             0.34651,             0.13016,            0.054717,            0.011334,            0.027885,           0.0099446,           0.0099446,           0.0099446
                  37,            0.055664,            0.015279,            0.027278,             0.59472,             0.29383,             0.28415,             0.10931,             0.05452,            0.012094,            0.029762,           0.0099414,           0.0099414,           0.0099414
                  38,            0.055016,            0.014781,            0.026006,             0.66534,             0.37723,             0.38366,             0.15552,            0.052615,            0.011278,            0.023898,           0.0099381,           0.0099381,           0.0099381
                  39,            0.053445,              0.0149,            0.025235,             0.75957,             0.36147,             0.41383,             0.17069,             0.05188,            0.010933,            0.024054,           0.0099347,           0.0099347,           0.0099347
                  40,            0.054036,            0.015149,            0.024904,             0.73989,             0.36085,             0.40681,             0.16564,            0.053184,            0.011329,            0.023729,           0.0099312,           0.0099312,           0.0099312
                  41,            0.053621,            0.015175,            0.024079,             0.72883,             0.39546,              0.4318,             0.17277,            0.050291,            0.010941,            0.023226,           0.0099277,           0.0099277,           0.0099277
                  42,             0.05359,            0.014547,            0.023298,             0.65013,              0.3681,             0.37205,             0.15168,            0.053278,            0.011684,            0.023195,            0.009924,            0.009924,            0.009924
                  43,            0.053116,            0.014899,            0.020858,             0.65033,             0.35617,             0.37169,             0.15364,             0.05225,            0.011467,            0.027271,           0.0099203,           0.0099203,           0.0099203
                  44,            0.053315,            0.014551,            0.019798,             0.74922,             0.43194,              0.4563,             0.19716,            0.051245,            0.010626,            0.018597,           0.0099165,           0.0099165,           0.0099165
                  45,            0.053088,            0.014311,            0.020997,             0.71537,             0.38163,             0.41724,               0.171,            0.050516,            0.011339,            0.022678,           0.0099125,           0.0099125,           0.0099125
                  46,            0.052917,            0.014507,            0.021114,             0.67817,             0.44037,             0.44299,              0.1731,            0.050372,            0.011258,            0.019582,           0.0099085,           0.0099085,           0.0099085
                  47,            0.053003,            0.014803,            0.019454,             0.71575,             0.38166,             0.41408,             0.17362,            0.052776,            0.011045,            0.022305,           0.0099044,           0.0099044,           0.0099044
                  48,            0.052667,            0.014519,            0.019617,             0.71497,             0.35646,             0.40372,              0.1742,            0.051498,            0.010728,            0.022845,           0.0099003,           0.0099003,           0.0099003
                  49,            0.052945,            0.013816,            0.018232,             0.72735,             0.41228,             0.43948,              0.1733,            0.052997,            0.011387,            0.018906,            0.009896,            0.009896,            0.009896
                  50,            0.052433,            0.014007,            0.018604,             0.76465,             0.41418,              0.4481,             0.18714,            0.050378,            0.010547,            0.018031,           0.0098916,           0.0098916,           0.0098916
                  51,            0.051848,            0.014618,            0.017453,             0.74374,             0.44716,             0.47627,             0.19957,            0.049658,            0.010689,            0.017532,           0.0098872,           0.0098872,           0.0098872
                  52,            0.051812,            0.014192,            0.016387,             0.80299,              0.4205,             0.47748,             0.20685,            0.049439,            0.010509,            0.016157,           0.0098826,           0.0098826,           0.0098826
                  53,            0.050755,            0.013472,            0.016893,             0.78927,             0.45834,             0.50095,              0.2068,            0.049805,            0.011032,            0.015671,            0.009878,            0.009878,            0.009878
                  54,            0.051529,            0.013654,            0.015829,             0.67594,             0.41039,             0.41453,             0.17506,             0.04954,            0.010426,            0.019283,           0.0098733,           0.0098733,           0.0098733
                  55,            0.049954,            0.013834,            0.015227,             0.71278,             0.43312,             0.44082,             0.18352,            0.048558,            0.010544,            0.020843,           0.0098685,           0.0098685,           0.0098685
                  56,            0.050153,            0.014005,            0.016568,             0.72376,             0.44243,             0.45042,             0.19333,            0.048987,            0.010531,            0.019378,           0.0098636,           0.0098636,           0.0098636
                  57,             0.04981,            0.013457,            0.015563,             0.79884,             0.42034,             0.48438,             0.20592,            0.049738,            0.010545,            0.016578,           0.0098586,           0.0098586,           0.0098586
                  58,            0.050168,            0.013729,            0.014551,             0.79304,             0.46044,             0.48747,             0.21123,            0.049592,            0.010135,            0.015167,           0.0098536,           0.0098536,           0.0098536
                  59,            0.049681,            0.014105,            0.014892,             0.75618,             0.46461,             0.49258,             0.21189,            0.048062,            0.010891,            0.013382,           0.0098484,           0.0098484,           0.0098484
                  60,            0.048623,            0.013268,            0.015396,             0.80236,             0.47118,             0.52011,             0.21603,             0.04847,            0.010384,            0.013289,           0.0098432,           0.0098432,           0.0098432
                  61,            0.049124,            0.013324,            0.015606,             0.75321,             0.44759,             0.48175,               0.211,            0.048065,            0.010214,            0.017072,           0.0098378,           0.0098378,           0.0098378
